#Kbase_ID	Type	Strand	Start	End	Function
	source	plus	1	4007882	
Bacterial_genome_Nanuq_01May2018.CDS.131	gene	plus	107702	107917	Hypothetical protein YfkK
Bacterial_genome_Nanuq_01May2018.CDS.132	gene	plus	108252	109445	Putative transport system permease protein
Bacterial_genome_Nanuq_01May2018.CDS.133	gene	plus	109472	110233	3-dehydroquinate dehydratase I (EC 4.2.1.10)
Bacterial_genome_Nanuq_01May2018.CDS.134	gene	plus	110271	111182	Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)
Bacterial_genome_Nanuq_01May2018.CDS.135	gene	plus	111320	112351	transcriptional regulator
Bacterial_genome_Nanuq_01May2018.CDS.137	gene	plus	113108	116806	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 5'-nucleotidase (EC 3.1.3.5)
Bacterial_genome_Nanuq_01May2018.CDS.138	gene	plus	116863	117399	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 5'-nucleotidase (EC 3.1.3.5)
Bacterial_genome_Nanuq_01May2018.CDS.139	gene	plus	117609	117992	
Bacterial_genome_Nanuq_01May2018.CDS.140	gene	plus	118016	118684	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.141	gene	plus	118743	118976	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.142	gene	plus	118928	119503	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.149	gene	plus	124523	124783	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.150	gene	plus	124798	125040	FIG01253263: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.151	gene	plus	125056	125535	unknown
Bacterial_genome_Nanuq_01May2018.CDS.153	gene	plus	125944	126090	
Bacterial_genome_Nanuq_01May2018.CDS.154	gene	plus	126119	128056	Lipoteichoic acid synthase LtaS Type Ia
Bacterial_genome_Nanuq_01May2018.CDS.158	gene	plus	130211	130960	Methionine aminopeptidase (EC 3.4.11.18)
Bacterial_genome_Nanuq_01May2018.CDS.159	gene	plus	131017	131328	FIG01242431: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.160	gene	plus	131412	131567	FIG01231981: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.161	gene	plus	131746	131880	unknown
Bacterial_genome_Nanuq_01May2018.CDS.163	gene	plus	132648	132920	Acylphosphate phosphohydrolase (EC 3.6.1.7), putative
Bacterial_genome_Nanuq_01May2018.CDS.176	gene	plus	148067	148693	FIG01228993: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.177	gene	plus	148690	150477	FIG01228993: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.178	gene	plus	150483	151154	FIG01228993: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.180	gene	plus	151817	158197	glutamine synthetase family protein
Bacterial_genome_Nanuq_01May2018.CDS.186	gene	plus	162970	163401	YfmB
Bacterial_genome_Nanuq_01May2018.CDS.187	gene	plus	163468	163743	NADP-dependent oxidoreductase YfmJ
Bacterial_genome_Nanuq_01May2018.CDS.188	gene	plus	163740	164486	NADP-dependent oxidoreductase YfmJ
Bacterial_genome_Nanuq_01May2018.CDS.191	gene	plus	166362	167918	ABC transporter ATP-binding protein
Bacterial_genome_Nanuq_01May2018.CDS.195	gene	plus	171868	172935	Glycosyl transferase, group 2 family protein
Bacterial_genome_Nanuq_01May2018.CDS.200	gene	plus	176581	177966	Amino acid permease
Bacterial_genome_Nanuq_01May2018.CDS.201	gene	plus	178084	179313	Fosmidomycin resistance protein
Bacterial_genome_Nanuq_01May2018.CDS.208	gene	plus	186348	186545	
Bacterial_genome_Nanuq_01May2018.CDS.210	gene	plus	190072	191142	unknown
Bacterial_genome_Nanuq_01May2018.CDS.212	gene	plus	192450	192722	Transcriptional regulator YetL, MarR family
Bacterial_genome_Nanuq_01May2018.CDS.213	gene	plus	192719	192961	Transcriptional regulator YetL, MarR family
Bacterial_genome_Nanuq_01May2018.CDS.215	gene	plus	193483	193620	
Bacterial_genome_Nanuq_01May2018.CDS.220	gene	plus	196194	196559	Glyoxalase family protein
Bacterial_genome_Nanuq_01May2018.CDS.221	gene	plus	196644	196970	Antibiotic biosynthesis monooxygenase domain-containing protein
Bacterial_genome_Nanuq_01May2018.CDS.231	gene	plus	202537	202875	
Bacterial_genome_Nanuq_01May2018.CDS.232	gene	plus	202927	203430	Putative toxin component near putative ESAT-related proteins, repetitive / Repetitive hypothetical protein near ESAT cluster, SA0282 homolog
Bacterial_genome_Nanuq_01May2018.CDS.233	gene	plus	203610	204299	YeeF
Bacterial_genome_Nanuq_01May2018.CDS.234	gene	plus	204299	205420	YeeF
Bacterial_genome_Nanuq_01May2018.CDS.235	gene	plus	205437	205697	YeeF
Bacterial_genome_Nanuq_01May2018.CDS.238	gene	plus	208216	208683	
Bacterial_genome_Nanuq_01May2018.CDS.243	gene	plus	214708	215556	TetR family transcriptional regulator probably coupled to RND multidrug efflux transporter
Bacterial_genome_Nanuq_01May2018.CDS.247	gene	plus	219250	220728	Sodium/proline symporter
Bacterial_genome_Nanuq_01May2018.CDS.248	gene	plus	220849	221541	Mg(2+)-transport-ATPase-associated protein MgtC
Bacterial_genome_Nanuq_01May2018.CDS.254	gene	plus	229045	229209	
Bacterial_genome_Nanuq_01May2018.CDS.255	gene	plus	229215	230789	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)
Bacterial_genome_Nanuq_01May2018.CDS.260	gene	plus	234018	234251	FIG01226624: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.287	gene	plus	259819	261204	gamma-aminobutyrate (GABA) permease
Bacterial_genome_Nanuq_01May2018.CDS.288	gene	plus	261315	262853	Spore coat protein A
Bacterial_genome_Nanuq_01May2018.CDS.289	gene	plus	263060	263269	unknown
Bacterial_genome_Nanuq_01May2018.CDS.290	gene	plus	263368	263526	ydzJ
Bacterial_genome_Nanuq_01May2018.CDS.293	gene	plus	265397	266413	2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)
Bacterial_genome_Nanuq_01May2018.CDS.294	gene	plus	266625	266825	RNA polymerase sigma factor SigV
Bacterial_genome_Nanuq_01May2018.CDS.295	gene	plus	266825	267121	RNA polymerase sigma factor SigV
Bacterial_genome_Nanuq_01May2018.CDS.296	gene	plus	267121	267981	anti-sigma factor homolog yrhM
Bacterial_genome_Nanuq_01May2018.CDS.297	gene	plus	268014	268166	
Bacterial_genome_Nanuq_01May2018.CDS.298	gene	plus	268253	269755	Acyltransferase
Bacterial_genome_Nanuq_01May2018.CDS.299	gene	plus	269755	270183	Acyltransferase
Bacterial_genome_Nanuq_01May2018.CDS.309	gene	plus	278213	280714	FIG01225907: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.310	gene	plus	281707	282054	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.313	gene	plus	284584	285318	CAAX amino terminal protease family protein
Bacterial_genome_Nanuq_01May2018.CDS.314	gene	plus	285327	285506	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.319	gene	plus	287798	289726	ABC transporter ATP-binding protein uup
Bacterial_genome_Nanuq_01May2018.repeat.6	repeat	plus	293767	293940	repeat region
Bacterial_genome_Nanuq_01May2018.repeat.7	repeat	plus	293949	298931	repeat region
Bacterial_genome_Nanuq_01May2018.CDS.328	gene	plus	302373	302837	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.329	gene	plus	302949	303803	catalase, Mn-containing
Bacterial_genome_Nanuq_01May2018.CDS.330	gene	plus	304041	305603	Amino acid transporter
Bacterial_genome_Nanuq_01May2018.CDS.331	gene	plus	305720	306301	Transcriptional regulator, TetR family
Bacterial_genome_Nanuq_01May2018.CDS.332	gene	plus	306374	306703	Broad-specificity multidrug efflux pump YkkC
Bacterial_genome_Nanuq_01May2018.CDS.333	gene	plus	306703	306798	Quaternary ammonium compound-resistance protein SugE
Bacterial_genome_Nanuq_01May2018.CDS.334	gene	plus	306804	307016	Quaternary ammonium compound-resistance protein SugE
Bacterial_genome_Nanuq_01May2018.CDS.340	gene	plus	310134	310691	Major facilitator family transporter YdhL
Bacterial_genome_Nanuq_01May2018.CDS.341	gene	plus	310688	311293	Major facilitator family transporter YdhL
Bacterial_genome_Nanuq_01May2018.CDS.344	gene	plus	312108	312281	
Bacterial_genome_Nanuq_01May2018.CDS.348	gene	plus	314332	314586	Uncharacterized protein yjiA precursor
Bacterial_genome_Nanuq_01May2018.CDS.351	gene	plus	316847	317905	Tartrate dehydrogenase (EC 1.1.1.93) / Tartrate decarboxylase (EC 4.1.1.73) / D-malic enzyme (EC 1.1.1.83)
Bacterial_genome_Nanuq_01May2018.CDS.356	gene	plus	321582	322040	spermine/spermidine acetyltransferase
Bacterial_genome_Nanuq_01May2018.CDS.357	gene	plus	322199	322942	membrane protein, putative
Bacterial_genome_Nanuq_01May2018.CDS.359	gene	plus	323932	325167	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)
Bacterial_genome_Nanuq_01May2018.CDS.363	gene	plus	327963	328724	FIG01232946: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.364	gene	plus	328934	329461	GNAT family acetyltransferase Bsu1753 (YnaD)
Bacterial_genome_Nanuq_01May2018.CDS.365	gene	plus	329739	331367	ABC transporter, ATP-binding protein, putative
Bacterial_genome_Nanuq_01May2018.CDS.366	gene	plus	331506	332228	Glutamine amidotransferase, class I
Bacterial_genome_Nanuq_01May2018.CDS.370	gene	plus	336492	336656	
Bacterial_genome_Nanuq_01May2018.CDS.371	gene	plus	336769	337014	Spore coat protein F
Bacterial_genome_Nanuq_01May2018.CDS.372	gene	plus	337032	337400	Spore coat protein F
Bacterial_genome_Nanuq_01May2018.CDS.373	gene	plus	337419	338555	Uncharacterized zinc-type alcohol dehydrogenase-like protein ybdR
Bacterial_genome_Nanuq_01May2018.CDS.374	gene	plus	338574	338771	Spore coat protein F
Bacterial_genome_Nanuq_01May2018.CDS.375	gene	plus	338786	339085	Spore coat protein F
Bacterial_genome_Nanuq_01May2018.CDS.377	gene	plus	340192	341382	MFS permease
Bacterial_genome_Nanuq_01May2018.CDS.378	gene	plus	341609	341971	
Bacterial_genome_Nanuq_01May2018.CDS.380	gene	plus	342759	344141	Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)
Bacterial_genome_Nanuq_01May2018.CDS.385	gene	plus	346254	347303	Alcohol dehydrogenase (EC 1.1.1.1)
Bacterial_genome_Nanuq_01May2018.CDS.394	gene	plus	352031	352198	
Bacterial_genome_Nanuq_01May2018.CDS.395	gene	plus	352275	352616	
Bacterial_genome_Nanuq_01May2018.CDS.398	gene	plus	355154	355273	
Bacterial_genome_Nanuq_01May2018.CDS.399	gene	plus	355368	355601	Lactoylglutathione lyase (EC 4.4.1.5)
Bacterial_genome_Nanuq_01May2018.CDS.403	gene	plus	357877	358041	
Bacterial_genome_Nanuq_01May2018.CDS.409	gene	plus	363556	364032	Transcriptional regulator, AraC family
Bacterial_genome_Nanuq_01May2018.CDS.410	gene	plus	364137	364451	Transcriptional regulator, AraC family
Bacterial_genome_Nanuq_01May2018.CDS.415	gene	plus	368411	369607	Diaminopropionate ammonia-lyase (EC 4.3.1.15)
Bacterial_genome_Nanuq_01May2018.CDS.417	gene	plus	370393	371361	patatin-like phospholipase
Bacterial_genome_Nanuq_01May2018.CDS.418	gene	plus	371612	371929	Transcriptional regulator, PadR family
Bacterial_genome_Nanuq_01May2018.CDS.419	gene	plus	371931	372140	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.420	gene	plus	372353	372484	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.422	gene	plus	373294	373410	
Bacterial_genome_Nanuq_01May2018.CDS.432	gene	plus	378711	379172	CarD-like transcriptional regulator
Bacterial_genome_Nanuq_01May2018.CDS.438	gene	plus	381368	381811	Rrf2 family transcriptional regulator, group III
Bacterial_genome_Nanuq_01May2018.CDS.441	gene	plus	383149	383568	Organic hydroperoxide resistance protein
Bacterial_genome_Nanuq_01May2018.CDS.442	gene	plus	383650	384597	Lipase
Bacterial_genome_Nanuq_01May2018.CDS.447	gene	plus	388784	388909	
Bacterial_genome_Nanuq_01May2018.repeat.8	repeat	plus	390180	390345	repeat region
Bacterial_genome_Nanuq_01May2018.CDS.450	gene	plus	391413	391526	
Bacterial_genome_Nanuq_01May2018.CDS.465	gene	plus	402397	402996	Rhomboid family protein
Bacterial_genome_Nanuq_01May2018.CDS.470	gene	plus	406665	406814	
Bacterial_genome_Nanuq_01May2018.CDS.473	gene	plus	409538	409861	Thioredoxin
Bacterial_genome_Nanuq_01May2018.CDS.475	gene	plus	410965	411144	FIG01234611: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.476	gene	plus	411131	411277	unknown
Bacterial_genome_Nanuq_01May2018.CDS.485	gene	plus	419730	420782	TRAP-type C4-dicarboxylate transport system, periplasmic component
Bacterial_genome_Nanuq_01May2018.CDS.486	gene	plus	420866	421687	Mn-containing catalase
Bacterial_genome_Nanuq_01May2018.CDS.491	gene	plus	423985	424350	Ethidium bromide-methyl viologen resistance protein EmrE
Bacterial_genome_Nanuq_01May2018.CDS.492	gene	plus	424347	424754	conserved hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.493	gene	plus	424812	425036	unknown
Bacterial_genome_Nanuq_01May2018.CDS.496	gene	plus	426099	427241	Manganese transport protein MntH
Bacterial_genome_Nanuq_01May2018.CDS.497	gene	plus	427232	427372	Manganese transport protein MntH
Bacterial_genome_Nanuq_01May2018.CDS.498	gene	plus	427479	427745	FIG01227174: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.499	gene	plus	427967	428545	
Bacterial_genome_Nanuq_01May2018.CDS.500	gene	plus	428642	429199	
Bacterial_genome_Nanuq_01May2018.CDS.502	gene	plus	429577	429807	
Bacterial_genome_Nanuq_01May2018.CDS.516	gene	plus	444691	444981	unknown
Bacterial_genome_Nanuq_01May2018.CDS.526	gene	plus	456293	456613	Antibiotic biosynthesis monooxygenase
Bacterial_genome_Nanuq_01May2018.CDS.537	gene	plus	463992	464105	
Bacterial_genome_Nanuq_01May2018.CDS.538	gene	plus	464117	464281	FIG01233156: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.544	gene	plus	468497	469069	DNA for 25-36 DEGREE region containing the AMYE-SRFA region, complete CDS
Bacterial_genome_Nanuq_01May2018.CDS.545	gene	plus	469102	469356	Copper resistance protein CopC / Copper resistance protein CopD
Bacterial_genome_Nanuq_01May2018.CDS.546	gene	plus	469353	470729	Copper resistance protein CopC / Copper resistance protein CopD
Bacterial_genome_Nanuq_01May2018.CDS.547	gene	plus	470742	471353	Conserved membrane protein in copper uptake, YcnI
Bacterial_genome_Nanuq_01May2018.CDS.553	gene	plus	476130	477539	Transcriptional regulator GabR of GABA utilization (GntR family with aminotransferase-like domain)
Bacterial_genome_Nanuq_01May2018.CDS.555	gene	plus	478023	478310	lin0150
Bacterial_genome_Nanuq_01May2018.CDS.556	gene	plus	478327	479073	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
Bacterial_genome_Nanuq_01May2018.CDS.557	gene	plus	479233	479487	Transcriptional regulator, TetR family
Bacterial_genome_Nanuq_01May2018.CDS.558	gene	plus	479487	480026	Transcriptional regulator, TetR family
Bacterial_genome_Nanuq_01May2018.CDS.559	gene	plus	480124	481545	multidrug resistance protein
Bacterial_genome_Nanuq_01May2018.CDS.564	gene	plus	485609	486973	Aspartokinase (EC 2.7.2.4)
Bacterial_genome_Nanuq_01May2018.CDS.572	gene	plus	491030	491887	ABC transporter, permease protein
Bacterial_genome_Nanuq_01May2018.CDS.573	gene	plus	491935	492465	ABC transporter, permease protein
Bacterial_genome_Nanuq_01May2018.CDS.574	gene	plus	492480	493163	ABC transporter, ATP-binding protein
Bacterial_genome_Nanuq_01May2018.CDS.586	gene	plus	504042	504167	
Bacterial_genome_Nanuq_01May2018.CDS.587	gene	plus	504173	504394	Uncharacterized protein yczF precursor
Bacterial_genome_Nanuq_01May2018.CDS.590	gene	plus	506468	507988	Di-/tripeptide transporter
Bacterial_genome_Nanuq_01May2018.CDS.595	gene	plus	510868	511740	Transcriptional regulator, LysR family
Bacterial_genome_Nanuq_01May2018.CDS.596	gene	plus	511869	512666	L-Cystine ABC transporter, periplasmic cystine-binding protein TcyA
Bacterial_genome_Nanuq_01May2018.CDS.597	gene	plus	512668	513357	L-Cystine ABC transporter, permease protein TcyB
Bacterial_genome_Nanuq_01May2018.CDS.598	gene	plus	513370	514113	L-Cystine ABC transporter, ATP-binding protein TcyC
Bacterial_genome_Nanuq_01May2018.CDS.599	gene	plus	514211	514840	membrane protein, putative
Bacterial_genome_Nanuq_01May2018.CDS.600	gene	plus	514939	515613	4'-phosphopantetheinyl transferase (EC 2.7.8.-)
Bacterial_genome_Nanuq_01May2018.CDS.613	gene	plus	544416	545051	D-arabino-3-hexulose 6-phosphate formaldehyde lyase
Bacterial_genome_Nanuq_01May2018.CDS.614	gene	plus	545048	545605	6-phospho-3-hexuloisomerase
Bacterial_genome_Nanuq_01May2018.CDS.615	gene	plus	545963	546400	competence-specific nuclease
Bacterial_genome_Nanuq_01May2018.CDS.616	gene	plus	546422	546820	Nin
Bacterial_genome_Nanuq_01May2018.CDS.624	gene	plus	550790	550936	
Bacterial_genome_Nanuq_01May2018.CDS.625	gene	plus	550936	551700	Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)
Bacterial_genome_Nanuq_01May2018.CDS.626	gene	plus	551727	553352	Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)
Bacterial_genome_Nanuq_01May2018.CDS.627	gene	plus	553373	553693	Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)
Bacterial_genome_Nanuq_01May2018.CDS.628	gene	plus	553760	555199	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107) / Uroporphyrinogen-III synthase (EC 4.2.1.75)
Bacterial_genome_Nanuq_01May2018.CDS.634	gene	plus	561913	562056	
Bacterial_genome_Nanuq_01May2018.CDS.640	gene	plus	566216	567004	FIG01239463: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.641	gene	plus	567060	567653	tunicamycin resistance
Bacterial_genome_Nanuq_01May2018.CDS.642	gene	plus	567833	568117	
Bacterial_genome_Nanuq_01May2018.CDS.645	gene	plus	569841	571169	amino acid permease
Bacterial_genome_Nanuq_01May2018.CDS.649	gene	plus	573268	574800	drug resistance transporter, EmrB/QacA family
Bacterial_genome_Nanuq_01May2018.CDS.657	gene	plus	580415	581536	Amidohydrolase AmhX
Bacterial_genome_Nanuq_01May2018.CDS.669	gene	plus	591945	592940	FIG01228740: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.676	gene	plus	599567	600070	L-alanoyl-D-glutamate peptidase
Bacterial_genome_Nanuq_01May2018.CDS.680	gene	plus	603154	604149	
Bacterial_genome_Nanuq_01May2018.CDS.684	gene	plus	607175	607306	
Bacterial_genome_Nanuq_01May2018.CDS.686	gene	plus	608596	609162	Transcriptional regulator, TetR family
Bacterial_genome_Nanuq_01May2018.CDS.687	gene	plus	609205	610638	lincomycin-resistance
Bacterial_genome_Nanuq_01May2018.CDS.689	gene	plus	611873	612520	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)
Bacterial_genome_Nanuq_01May2018.CDS.693	gene	plus	615325	615510	
Bacterial_genome_Nanuq_01May2018.CDS.695	gene	plus	615958	616083	
Bacterial_genome_Nanuq_01May2018.CDS.696	gene	plus	616110	616493	FIG01228700: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.701	gene	plus	619667	620521	Cobalt-zinc-cadmium resistance protein
Bacterial_genome_Nanuq_01May2018.CDS.708	gene	plus	624856	625839	Glutaminase (EC 3.5.1.2)
Bacterial_genome_Nanuq_01May2018.CDS.709	gene	plus	625864	627300	Sodium/glutamine symporter glnT
Bacterial_genome_Nanuq_01May2018.CDS.710	gene	plus	627416	628363	Homocysteine S-methyltransferase (EC 2.1.1.10)
Bacterial_genome_Nanuq_01May2018.CDS.711	gene	plus	628417	629880	S-methylmethionine permease
Bacterial_genome_Nanuq_01May2018.CDS.713	gene	plus	631359	632609	Proton/glutamate symport protein @ Proton/aspartate symport protein
Bacterial_genome_Nanuq_01May2018.CDS.721	gene	plus	635904	636047	
Bacterial_genome_Nanuq_01May2018.CDS.729	gene	plus	640249	642423	unknown
Bacterial_genome_Nanuq_01May2018.CDS.730	gene	plus	642496	642921	Uncharacterized protein ybfE
Bacterial_genome_Nanuq_01May2018.CDS.731	gene	plus	643068	644516	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)
Bacterial_genome_Nanuq_01May2018.CDS.733	gene	plus	645149	646483	Glycerol-3-phosphate transporter
Bacterial_genome_Nanuq_01May2018.CDS.734	gene	plus	646579	647166	Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)
Bacterial_genome_Nanuq_01May2018.CDS.735	gene	plus	647205	647465	Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)
Bacterial_genome_Nanuq_01May2018.CDS.737	gene	plus	649365	649625	unknown
Bacterial_genome_Nanuq_01May2018.CDS.764	gene	plus	700153	700650	CidA-associated membrane protein CidB
Bacterial_genome_Nanuq_01May2018.CDS.765	gene	plus	700620	701312	CidA-associated membrane protein CidB
Bacterial_genome_Nanuq_01May2018.CDS.766	gene	plus	701422	702267	oxidoreductase of aldo/keto reductase family, subgroup 1
Bacterial_genome_Nanuq_01May2018.CDS.768	gene	plus	703587	704495	unknown
Bacterial_genome_Nanuq_01May2018.repeat.9	repeat	plus	714161	714315	repeat region
Bacterial_genome_Nanuq_01May2018.CDS.780	gene	plus	714570	715022	Purine nucleoside phosphorylase (EC 2.4.2.1)
Bacterial_genome_Nanuq_01May2018.CDS.781	gene	plus	715041	715517	GCN5-related N-acetyltransferase
Bacterial_genome_Nanuq_01May2018.CDS.782	gene	plus	715617	716546	N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)
Bacterial_genome_Nanuq_01May2018.CDS.783	gene	plus	716675	718042	PTS system, IIB component (EC 2.7.1.69) / PTS system, IIC component (EC 2.7.1.69)
Bacterial_genome_Nanuq_01May2018.CDS.784	gene	plus	718061	719344	beta-lactamase
Bacterial_genome_Nanuq_01May2018.CDS.785	gene	plus	719391	720827	Beta-hexosaminidase (EC 3.2.1.52)
Bacterial_genome_Nanuq_01May2018.CDS.786	gene	plus	720839	721303	Beta-hexosaminidase (EC 3.2.1.52)
Bacterial_genome_Nanuq_01May2018.CDS.787	gene	plus	721319	722563	alternate gene name: yzbB
Bacterial_genome_Nanuq_01May2018.CDS.788	gene	plus	722701	724296	Transcriptional regulator, AraC family
Bacterial_genome_Nanuq_01May2018.CDS.789	gene	plus	724384	724785	Fe-bacillibactin uptake system FeuA, Fe-bacillibactin binding
Bacterial_genome_Nanuq_01May2018.CDS.790	gene	plus	724782	725339	Fe-bacillibactin uptake system FeuA, Fe-bacillibactin binding
Bacterial_genome_Nanuq_01May2018.CDS.791	gene	plus	725359	726366	Fe-bacillibactin uptake system FeuB
Bacterial_genome_Nanuq_01May2018.CDS.792	gene	plus	726356	727378	Fe-bacillibactin uptake system FeuC
Bacterial_genome_Nanuq_01May2018.CDS.793	gene	plus	727375	728127	Trilactone hydrolase [bacillibactin] siderophore
Bacterial_genome_Nanuq_01May2018.CDS.799	gene	plus	734332	735546	Glucose/mannose:H+ symporter GlcP
Bacterial_genome_Nanuq_01May2018.repeat.10	repeat	plus	735641	740677	repeat region
Bacterial_genome_Nanuq_01May2018.repeat.11	repeat	plus	740762	740933	repeat region
Bacterial_genome_Nanuq_01May2018.repeat.12	repeat	plus	741527	746567	repeat region
Bacterial_genome_Nanuq_01May2018.CDS.801	gene	plus	746691	747455	polysaccharide deacetylase, putative
Bacterial_genome_Nanuq_01May2018.CDS.803	gene	plus	748159	748587	Spore germination protein GerD
Bacterial_genome_Nanuq_01May2018.CDS.804	gene	plus	748584	748715	Spore germination protein GerD
Bacterial_genome_Nanuq_01May2018.CDS.808	gene	plus	751229	751702	FIG01228969: hypothetical protein
Bacterial_genome_Nanuq_01May2018.repeat.13	repeat	plus	806055	811011	repeat region
